,Province/State,Country,Last Update,Confirmed,Deaths,Recovered,nDate
538,,France,1/2/2020 1:52,6,0,0,2
548,,UK,1/2/2020 1:52,2,0,0,2
555,Tibet,Mainland China,1/2/2020 1:52,1,0,0,2
605,,France,1/2/2020 1:52,6,0,0,2
617,,UK,1/2/2020 1:52,2,0,0,2
623,Tibet,Mainland China,1/2/2020 1:52,1,0,0,2
559,,Sweden,1/2/2020 2:13,1,0,0,2
627,,Sweden,1/2/2020 2:13,1,0,0,2
534,Qinghai,Mainland China,1/2/2020 5:37,9,0,0,2
539,,Vietnam,1/2/2020 7:38,6,0,1,2
606,,Vietnam,1/2/2020 7:38,6,0,1,2
518,Liaoning,Mainland China,1/2/2020 15:23,64,0,1,2
522,Gansu,Mainland China,1/2/2020 15:43,40,0,0,2
517,Yunnan,Mainland China,1/2/2020 15:53,93,0,2,2
540,New South Wales,Australia,1/2/2020 18:12,4,0,2,2
541,Victoria,Australia,1/2/2020 18:12,4,0,0,2
543,Queensland,Australia,1/2/2020 18:12,2,0,0,2
544,Ontario,Canada,1/2/2020 18:12,3,0,0,2
550,South Australia,Australia,1/2/2020 18:12,2,0,0,2
552,British Columbia,Canada,1/2/2020 18:12,1,0,0,2
608,New South Wales,Australia,1/2/2020 18:12,4,0,2,2
609,Victoria,Australia,1/2/2020 18:12,4,0,0,2
610,Ontario,Canada,1/2/2020 18:12,3,0,0,2
621,British Columbia,Canada,1/2/2020 18:12,1,0,0,2
528,,Japan,1/2/2020 18:53,20,0,1,2
595,,Japan,1/2/2020 18:53,20,0,1,2
549,"Chicago, IL",US,1/2/2020 19:43,2,0,0,2
560,"Boston, MA",US,1/2/2020 19:43,1,0,0,2
564,"Seattle, WA",US,1/2/2020 19:43,1,0,0,2
565,"Tempe, AZ",US,1/2/2020 19:43,1,0,0,2
618,"Chicago, IL",US,1/2/2020 19:43,2,0,0,2
628,"Boston, MA",US,1/2/2020 19:43,1,0,0,2
631,"Seattle, WA",US,1/2/2020 19:43,1,0,0,2
632,"Tempe, AZ",US,1/2/2020 19:43,1,0,0,2
561,"Los Angeles, CA",US,1/2/2020 19:53,1,0,0,2
562,"Orange, CA",US,1/2/2020 19:53,1,0,0,2
563,"Santa Clara, CA",US,1/2/2020 19:53,1,0,0,2
629,"Los Angeles, CA",US,1/2/2020 19:53,1,0,0,2
630,"Orange, CA",US,1/2/2020 19:53,1,0,0,2
499,Hubei,Mainland China,1/2/2020 23:33,9074,294,215,2
520,Shanxi,Mainland China,1/2/2020 23:33,56,0,1,2
535,,Germany,1/2/2020 23:33,8,0,0,2
506,Chongqing,Mainland China,1/2/2020 23:43,262,1,3,2
557,,Spain,1/2/2020 23:43,1,0,0,2
625,,Spain,1/2/2020 23:43,1,0,0,2
2,Anhui,China,1/22/2020 12:00,1,0,0,22
3,Beijing,China,1/22/2020 12:00,14,0,0,22
4,Chongqing,China,1/22/2020 12:00,6,0,0,22
5,Fujian,China,1/22/2020 12:00,1,0,0,22
6,Gansu,China,1/22/2020 12:00,0,0,0,22
7,Guangdong,China,1/22/2020 12:00,26,0,0,22
8,Guangxi,China,1/22/2020 12:00,2,0,0,22
9,Guizhou,China,1/22/2020 12:00,1,0,0,22
10,Hainan,China,1/22/2020 12:00,4,0,0,22
11,Hebei,China,1/22/2020 12:00,1,0,0,22
12,Heilongjiang,China,1/22/2020 12:00,0,0,0,22
13,Henan,China,1/22/2020 12:00,5,0,0,22
14,Hong Kong,China,1/22/2020 12:00,0,0,0,22
15,Hubei,China,1/22/2020 12:00,444,0,0,22
16,Hunan,China,1/22/2020 12:00,4,0,0,22
17,Inner Mongolia,China,1/22/2020 12:00,0,0,0,22
18,Jiangsu,China,1/22/2020 12:00,1,0,0,22
19,Jiangxi,China,1/22/2020 12:00,2,0,0,22
20,Jilin,China,1/22/2020 12:00,0,0,0,22
21,Liaoning,China,1/22/2020 12:00,2,0,0,22
22,Macau,China,1/22/2020 12:00,1,0,0,22
