Country,Province/State,Last Update,Confirmed,Deaths,Recovered,nDate
Mainland China,Anhui,1/25/2020 12:00,60,0,0,25
Mainland China,Anhui,1/30/2020 21:30,237,0,3,30
Mainland China,Anhui,1/31/2020 19:00,237,0,3,31
Mainland China,Anhui,1/29/2020 21:00,200,0,2,29
Mainland China,Anhui,3/2/2020 0:53,408,0,7,36
China,Anhui,1/22/2020 12:00,1,0,0,22
Mainland China,Anhui,2/4/2020 0:43,480,0,14,35
Mainland China,Anhui,1/27/2020 20:30,106,0,0,27
Mainland China,Anhui,1/23/2020 12:00,9,0,0,23
Mainland China,Anhui,1/28/2020 23:00,152,0,0,28
Mainland China,Anhui,1/24/2020 12:00,15,0,0,24
Mainland China,Anhui,2/2/2020 1:33,340,0,5,33
Mainland China,Anhui,1/26/2020 23:00,70,0,0,26
US,Arizona,1/30/2020 21:30,1,0,0,30
US,Arizona,1/27/2020 20:30,1,0,0,27
US,Arizona,1/28/2020 23:00,1,0,0,28
US,Arizona,1/26/2020 23:00,1,0,0,26
US,Arizona,1/29/2020 21:00,1,0,0,29
US,Arizona,1/31/2020 19:00,1,0,0,31
Germany,Bavaria,1/30/2020 21:30,4,0,0,30
Germany,Bavaria,1/29/2020 21:00,4,0,0,29
Germany,Bavaria,1/27/2020 20:30,1,0,0,27
Germany,Bavaria,1/28/2020 23:00,4,0,0,28
Germany,Bavaria,1/31/2020 19:00,7,0,0,31
China,Beijing,1/22/2020 12:00,14,0,0,22
Mainland China,Beijing,1/23/2020 12:00,22,0,0,23
Mainland China,Beijing,1/28/2020 23:00,91,1,4,28
Mainland China,Beijing,1/25/2020 12:00,51,0,2,25
Mainland China,Beijing,1/29/2020 21:00,111,1,4,29
Mainland China,Beijing,1/30/2020 21:30,121,1,5,30
Mainland China,Beijing,1/27/2020 20:30,80,1,2,27
Mainland China,Beijing,2/3/2020 9:23,212,1,12,34
Mainland China,Beijing,1/24/2020 12:00,36,0,1,24
Mainland China,Beijing,1/26/2020 23:00,68,0,2,26
Mainland China,Beijing,2/2/2020 3:05,183,1,9,33
Mainland China,Beijing,2/2/2020 8:43,191,1,9,33
Mainland China,Beijing,1/31/2020 19:00,139,1,5,31
US,"Boston, MA",1/2/2020 19:43,1,0,0,2
US,"Boston, MA",2/1/2020 19:43,1,0,0,32
US,"Boston, MA",1/2/2020 19:43,1,0,0,2
Canada,British Columbia,2/1/2020 18:12,1,0,0,32
Canada,British Columbia,1/31/2020 19:00,1,0,0,31
Canada,British Columbia,1/28/2020 23:00,1,0,0,28
Canada,British Columbia,1/30/2020 21:30,1,0,0,30
Canada,British Columbia,1/2/2020 18:12,1,0,0,2
Canada,British Columbia,1/29/2020 21:00,1,0,0,29
Canada,British Columbia,1/2/2020 18:12,1,0,0,2
US,California,1/31/2020 19:00,3,0,0,31
US,California,1/27/2020 20:30,2,0,0,27
US,California,1/28/2020 23:00,2,0,0,28
US,California,1/26/2020 23:00,2,0,0,26
US,California,1/30/2020 21:30,2,0,0,30
US,California,1/29/2020 21:00,2,0,0,29
US,Chicago,1/24/2020 12:00,1,0,0,24
US,"Chicago, IL",1/2/2020 19:43,2,0,0,2
US,"Chicago, IL",2/1/2020 19:43,2,0,0,32
US,"Chicago, IL",1/2/2020 19:43,2,0,0,2
Mainland China,Chongqing,1/31/2020 19:00,238,1,1,31
Mainland China,Chongqing,2/2/2020 23:33,300,2,7,33
Mainland China,Chongqing,2/3/2020 23:43,337,2,9,34
Mainland China,Chongqing,1/23/2020 12:00,9,0,0,23
Mainland China,Chongqing,1/29/2020 21:00,165,0,1,29
Mainland China,Chongqing,1/24/2020 12:00,27,0,0,24
Mainland China,Chongqing,1/30/2020 21:30,206,0,1,30
Mainland China,Chongqing,1/27/2020 20:30,132,0,0,27
Mainland China,Chongqing,1/26/2020 23:00,110,0,0,26
Mainland China,Chongqing,1/25/2020 12:00,75,0,0,25
Mainland China,Chongqing,1/28/2020 23:00,147,0,1,28
Mainland China,Chongqing,1/2/2020 23:43,262,1,3,2
China,Chongqing,1/22/2020 12:00,6,0,0,22
Mainland China,Fujian,2/2/2020 3:43,159,0,0,33
Mainland China,Fujian,1/27/2020 20:30,59,0,0,27
Mainland China,Fujian,2/3/2020 11:33,179,0,1,34
Mainland China,Fujian,2/2/2020 3:43,159,0,0,33
Mainland China,Fujian,1/24/2020 12:00,10,0,0,24
Mainland China,Fujian,1/26/2020 23:00,35,0,0,26
Mainland China,Fujian,1/30/2020 21:30,101,0,0,30
Mainland China,Fujian,1/25/2020 12:00,18,1,0,25
Mainland China,Fujian,1/23/2020 12:00,5,0,0,23
Mainland China,Fujian,1/29/2020 21:00,101,0,0,29
Mainland China,Fujian,1/31/2020 19:00,120,0,0,31
China,Fujian,1/22/2020 12:00,1,0,0,22
Mainland China,Fujian,1/28/2020 23:00,82,0,0,28
Mainland China,Gansu,2/3/2020 23:03,55,0,3,34
Mainland China,Gansu,1/28/2020 23:00,24,0,0,28
Mainland China,Gansu,1/25/2020 12:00,7,0,0,25
Mainland China,Gansu,1/31/2020 19:00,35,0,0,31
Mainland China,Gansu,1/24/2020 12:00,2,0,0,24
Mainland China,Gansu,1/29/2020 21:00,26,0,0,29
Mainland China,Gansu,1/27/2020 20:30,19,0,0,27
Mainland China,Gansu,1/30/2020 21:30,29,0,0,30
China,Gansu,1/22/2020 12:00,0,0,0,22
Mainland China,Gansu,1/23/2020 12:00,2,0,0,23
Mainland China,Gansu,1/26/2020 23:00,14,0,0,26
Mainland China,Gansu,2/2/2020 23:43,51,0,3,33
Mainland China,Gansu,1/2/2020 15:43,40,0,0,2
Mainland China,Guangdong,2/2/2020 1:23,604,0,14,33
Mainland China,Guangdong,1/26/2020 23:00,146,0,2,26
Mainland China,Guangdong,1/27/2020 20:30,151,0,4,27
Mainland China,Guangdong,1/24/2020 12:00,53,0,2,24
Mainland China,Guangdong,1/31/2020 19:00,436,0,10,31
Mainland China,Guangdong,1/29/2020 21:00,311,0,6,29
Mainland China,Guangdong,2/4/2020 1:43,797,0,21,35
Mainland China,Guangdong,1/28/2020 23:00,241,0,5,28
Mainland China,Guangdong,1/30/2020 21:30,393,0,11,30
Mainland China,Guangdong,1/23/2020 12:00,32,0,2,23
Mainland China,Guangdong,1/25/2020 12:00,98,0,2,25
Mainland China,Guangdong,3/2/2020 1:33,683,0,15,36
China,Guangdong,1/22/2020 12:00,26,0,0,22
Mainland China,Guangxi,1/24/2020 12:00,23,0,0,24
Mainland China,Guangxi,1/29/2020 21:00,78,0,2,29
Mainland China,Guangxi,1/26/2020 23:00,46,0,0,26
Mainland China,Guangxi,1/25/2020 12:00,33,0,0,25
Mainland China,Guangxi,1/23/2020 12:00,5,0,0,23
China,Guangxi,1/22/2020 12:00,2,0,0,22
Mainland China,Guangxi,1/28/2020 23:00,58,0,2,28
Mainland China,Guangxi,1/31/2020 19:00,88,0,2,31
Mainland China,Guangxi,1/27/2020 20:30,51,0,0,27
Mainland China,Guangxi,3/2/2020 0:13,127,0,2,36
Mainland China,Guangxi,2/2/2020 0:23,111,0,2,33
Mainland China,Guangxi,2/4/2020 0:33,139,0,7,35
Mainland China,Guangxi,1/30/2020 21:30,87,0,2,30
Mainland China,Guizhou,1/25/2020 12:00,5,0,0,25
Mainland China,Guizhou,1/29/2020 21:00,12,0,1,29
Mainland China,Guizhou,1/31/2020 19:00,29,0,2,31
Mainland China,Guizhou,1/23/2020 12:00,3,0,0,23
Mainland China,Guizhou,3/2/2020 1:03,46,0,2,36
Mainland China,Guizhou,1/30/2020 21:30,15,0,1,30
Mainland China,Guizhou,1/26/2020 23:00,7,0,0,26
China,Guizhou,1/22/2020 12:00,1,0,0,22
Mainland China,Guizhou,1/28/2020 23:00,9,0,0,28
Mainland China,Guizhou,2/2/2020 1:03,38,0,2,33
Mainland China,Guizhou,2/4/2020 1:03,56,0,2,35
Mainland China,Guizhou,1/27/2020 20:30,9,0,0,27
Mainland China,Guizhou,1/24/2020 12:00,3,0,0,24
Mainland China,Hainan,1/30/2020 21:30,50,1,1,30
Mainland China,Hainan,2/2/2020 1:03,63,1,1,33
Mainland China,Hainan,1/25/2020 12:00,19,0,0,25
Mainland China,Hainan,1/28/2020 23:00,43,1,0,28
Mainland China,Hainan,1/27/2020 20:30,33,1,0,27
Mainland China,Hainan,1/31/2020 19:00,58,1,1,31
Mainland China,Hainan,1/29/2020 21:00,43,1,0,29
Mainland China,Hainan,1/26/2020 23:00,22,0,0,26
Mainland China,Hainan,3/2/2020 0:43,71,1,4,36
Mainland China,Hainan,1/23/2020 12:00,5,0,0,23
China,Hainan,1/22/2020 12:00,4,0,0,22
Mainland China,Hainan,1/24/2020 12:00,8,0,0,24
Mainland China,Hainan,2/4/2020 0:43,79,1,4,35
Mainland China,Hebei,1/23/2020 12:00,1,1,0,23
Mainland China,Hebei,1/31/2020 19:00,96,1,0,31
China,Hebei,1/22/2020 12:00,1,0,0,22
Mainland China,Hebei,1/26/2020 23:00,18,1,0,26
Mainland China,Hebei,1/29/2020 21:00,65,1,0,29
Mainland China,Hebei,2/4/2020 0:23,126,1,3,35
Mainland China,Hebei,1/24/2020 12:00,2,1,0,24
Mainland China,Hebei,1/27/2020 20:30,33,1,0,27
Mainland China,Hebei,1/30/2020 21:30,82,1,0,30
Mainland China,Hebei,1/25/2020 12:00,13,1,0,25
Mainland China,Hebei,1/28/2020 23:00,48,1,0,28
Mainland China,Hebei,3/2/2020 0:23,113,1,3,36
Mainland China,Hebei,2/2/2020 2:53,104,1,3,33
Mainland China,Heilongjiang,1/25/2020 12:00,15,0,0,25
Mainland China,Heilongjiang,1/23/2020 12:00,2,0,0,23
Mainland China,Heilongjiang,2/4/2020 0:53,155,2,2,35
Mainland China,Heilongjiang,1/26/2020 23:00,21,1,0,26
China,Heilongjiang,1/22/2020 12:00,0,0,0,22
Mainland China,Heilongjiang,1/28/2020 23:00,37,1,0,28
Mainland China,Heilongjiang,1/30/2020 21:30,59,2,0,30
Mainland China,Heilongjiang,1/27/2020 20:30,30,1,0,27
Mainland China,Heilongjiang,2/2/2020 3:23,95,2,2,33
Mainland China,Heilongjiang,1/29/2020 21:00,43,1,0,29
Mainland China,Heilongjiang,2/2/2020 3:23,95,2,2,33
Mainland China,Heilongjiang,1/24/2020 12:00,4,1,0,24
Mainland China,Heilongjiang,1/31/2020 19:00,59,2,0,31
Mainland China,Henan,1/24/2020 12:00,9,0,0,24
Mainland China,Henan,1/29/2020 21:00,278,2,2,29
Mainland China,Henan,2/4/2020 1:23,675,2,20,35
Mainland China,Henan,1/27/2020 20:30,168,1,0,27
Mainland China,Henan,2/2/2020 0:53,493,2,4,33
Mainland China,Henan,1/28/2020 23:00,206,2,1,28
Mainland China,Henan,1/23/2020 12:00,5,0,0,23
China,Henan,1/22/2020 12:00,5,0,0,22
Mainland China,Henan,1/25/2020 12:00,83,1,0,25
Mainland China,Henan,3/2/2020 1:03,566,2,14,36
Mainland China,Henan,1/26/2020 23:00,128,1,0,26
Mainland China,Henan,1/31/2020 19:00,352,2,3,31
Mainland China,Henan,1/30/2020 21:30,352,2,3,30
Hong Kong,Hong Kong,1/25/2020 12:00,5,0,0,25
Hong Kong,Hong Kong,1/30/2020 21:30,12,0,0,30
Hong Kong,Hong Kong,1/23/2020 12:00,2,0,0,23
Hong Kong,Hong Kong,1/28/2020 23:00,8,0,0,28
Hong Kong,Hong Kong,1/27/2020 20:30,8,0,0,27
Hong Kong,Hong Kong,1/31/2020 19:00,13,0,0,31
Hong Kong,Hong Kong,2/2/2020 1:03,14,0,0,33
China,Hong Kong,1/22/2020 12:00,0,0,0,22
Hong Kong,Hong Kong,1/26/2020 23:00,8,0,0,26
Hong Kong,Hong Kong,2/2/2020 23:53,15,0,0,33
Hong Kong,Hong Kong,1/29/2020 21:00,10,0,0,29
Hong Kong,Hong Kong,2/2/2020 23:53,15,0,0,33
Hong Kong,Hong Kong,1/24/2020 12:00,2,0,0,24
Mainland China,Hubei,1/2/2020 23:33,9074,294,215,2
Mainland China,Hubei,1/31/2020 19:00,7153,249,169,31
Mainland China,Hubei,1/27/2020 20:30,2714,100,47,27
Mainland China,Hubei,2/4/2020 1:23,13522,414,396,35
China,Hubei,1/22/2020 12:00,444,0,0,22
Mainland China,Hubei,1/28/2020 23:00,3554,125,80,28
Mainland China,Hubei,1/24/2020 12:00,549,24,31,24
Mainland China,Hubei,1/26/2020 23:00,1423,76,44,26
Mainland China,Hubei,2/2/2020 23:43,11177,350,295,33
Mainland China,Hubei,1/29/2020 21:00,4586,162,90,29
Mainland China,Hubei,1/25/2020 22:00,1052,52,42,25
Mainland China,Hubei,1/23/2020 12:00,444,17,28,23
Mainland China,Hubei,1/30/2020 21:30,5806,204,116,30
Mainland China,Hunan,2/2/2020 1:53,463,0,8,33
Mainland China,Hunan,3/2/2020 1:33,521,0,16,36
Mainland China,Hunan,2/4/2020 1:43,593,0,22,35
Mainland China,Hunan,1/23/2020 12:00,9,0,0,23
Mainland China,Hunan,1/28/2020 23:00,221,0,0,28
Mainland China,Hunan,1/25/2020 12:00,69,0,0,25
Mainland China,Hunan,1/26/2020 23:00,100,0,0,26
Mainland China,Hunan,1/31/2020 19:00,332,0,3,31
Mainland China,Hunan,1/29/2020 21:00,277,0,0,29
Mainland China,Hunan,1/30/2020 21:30,332,0,2,30
Mainland China,Hunan,1/24/2020 12:00,24,0,0,24
Mainland China,Hunan,1/27/2020 20:30,100,0,0,27
China,Hunan,1/22/2020 12:00,4,0,0,22
US,Illinois,1/31/2020 19:00,2,0,0,31
US,Illinois,1/29/2020 21:00,1,0,0,29
US,Illinois,1/26/2020 23:00,1,0,0,26
US,Illinois,1/30/2020 21:30,2,0,0,30
US,Illinois,1/27/2020 20:30,1,0,0,27
US,Illinois,1/25/2020 12:00,1,0,0,25
