Country,Province/State,Last Update,Confirmed,Deaths,Recovered,nDate
China,Heilongjiang,1/22/2020 12:00,0,0,0,22
China,Hunan,1/22/2020 12:00,4,0,0,22
China,Shanxi,1/22/2020 12:00,1,0,0,22
China,Ningxia,1/22/2020 12:00,1,0,0,22
China,Xinjiang,1/22/2020 12:00,0,0,0,22
China,Guangxi,1/22/2020 12:00,2,0,0,22
China,Liaoning,1/22/2020 12:00,2,0,0,22
China,Chongqing,1/22/2020 12:00,6,0,0,22
China,Qinghai,1/22/2020 12:00,0,0,0,22
China,Guangdong,1/22/2020 12:00,26,0,0,22
China,Tibet,1/22/2020 12:00,0,0,0,22
China,Macau,1/22/2020 12:00,1,0,0,22
China,Fujian,1/22/2020 12:00,1,0,0,22
China,Hubei,1/22/2020 12:00,444,0,0,22
China,Hainan,1/22/2020 12:00,4,0,0,22
China,Tianjin,1/22/2020 12:00,4,0,0,22
China,Hong Kong,1/22/2020 12:00,0,0,0,22
China,Gansu,1/22/2020 12:00,0,0,0,22
China,Henan,1/22/2020 12:00,5,0,0,22
China,Sichuan,1/22/2020 12:00,5,0,0,22
China,Shaanxi,1/22/2020 12:00,0,0,0,22
China,Inner Mongolia,1/22/2020 12:00,0,0,0,22
China,Taiwan,1/22/2020 12:00,1,0,0,22
China,Zhejiang,1/22/2020 12:00,10,0,0,22
China,Yunnan,1/22/2020 12:00,1,0,0,22
China,Shanghai,1/22/2020 12:00,9,0,0,22
China,Jiangxi,1/22/2020 12:00,2,0,0,22
China,Hebei,1/22/2020 12:00,1,0,0,22
China,Jilin,1/22/2020 12:00,0,0,0,22
China,Anhui,1/22/2020 12:00,1,0,0,22
China,Jiangsu,1/22/2020 12:00,1,0,0,22
China,Guizhou,1/22/2020 12:00,1,0,0,22
China,Shandong,1/22/2020 12:00,2,0,0,22
China,Beijing,1/22/2020 12:00,14,0,0,22
Mainland China,Shaanxi,1/24/2020 12:00,5,0,0,24
Mainland China,Shandong,1/29/2020 21:00,145,0,1,29
Mainland China,Qinghai,1/30/2020 21:30,8,0,0,30
Mainland China,Qinghai,1/27/2020 20:30,6,0,0,27
Mainland China,Qinghai,1/26/2020 23:00,4,0,0,26
Mainland China,Shandong,1/24/2020 12:00,15,0,0,24
Mainland China,Qinghai,1/24/2020 12:00,0,0,0,24
