Date,Confirmed,Deaths,Recovered,max,min,cloud,rain,Selected
time,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete
,,,,,,,,class
2020-01-22,548.0,17.0,28.0,28.0,18.0,1.0,0.0,No
2020-01-23,643.0,18.0,30.0,29.0,18.0,1.0,0.0,No
2020-01-24,920.0,26.0,36.0,24.0,19.0,1.0,0.0,No
2020-01-25,1406.0,42.0,39.0,22.0,19.0,1.0,1.0,No
2020-01-26,2075.0,56.0,49.0,19.0,15.0,1.0,1.0,No
2020-01-27,2877.0,82.0,58.0,16.0,14.0,1.0,0.0,No
2020-01-28,5509.0,131.0,101.0,15.0,12.0,1.0,0.0,No
2020-01-29,6087.0,133.0,120.0,13.0,10.0,0.0,0.0,No
2020-01-30,8141.0,171.0,135.0,17.0,8.0,1.0,0.0,No
2020-01-31,9802.0,213.0,214.0,17.0,8.0,0.0,0.0,No
2020-02-01,11891.0,259.0,275.0,19.0,11.0,0.0,0.0,No
2020-02-02,16630.0,361.0,463.0,23.0,14.0,1.0,1.0,No
2020-02-03,19716.0,425.0,614.0,20.0,15.0,0.0,0.0,No
2020-02-04,23707.0,491.0,843.0,19.0,16.0,1.0,0.0,No
2020-02-05,27440.0,563.0,1115.0,16.0,16.0,0.0,0.0,No
2020-02-06,30587.0,633.0,1477.0,23.0,16.0,1.0,1.0,No
2020-02-07,34110.0,718.0,1999.0,17.0,16.0,1.0,0.0,No
2020-02-08,36814.0,805.0,2596.0,17.0,15.0,1.0,0.0,No
2020-02-09,39829.0,905.0,3219.0,15.0,15.0,0.0,0.0,No
2020-02-10,42354.0,1012.0,3918.0,20.0,14.0,0.0,0.0,No
2020-02-11,44386.0,1112.0,4636.0,23.0,16.0,0.0,0.0,No
2020-02-12,44759.0,1117.0,5082.0,29.0,16.0,1.0,0.0,No
2020-02-13,59895.0,1369.0,6217.0,28.0,19.0,0.0,0.0,No
2020-02-14,66358.0,1521.0,7977.0,28.0,19.0,1.0,0.0,No
2020-02-15,68413.0,1663.0,9298.0,25.0,20.0,1.0,0.0,No
2020-02-16,70513.0,1766.0,10755.0,21.0,11.0,0.0,0.0,No
2020-02-17,72434.0,1864.0,12462.0,14.0,10.0,0.0,0.0,No
2020-02-18,74211.0,2003.0,14206.0,17.0,10.0,0.0,0.0,No
2020-02-19,74619.0,2116.0,15962.0,22.0,14.0,0.0,0.0,No
2020-02-20,75077.0,2238.0,18014.0,20.0,15.0,0.0,0.0,No
2020-02-21,75550.0,2238.0,18704.0,26.0,18.0,0.0,0.0,No
2020-02-22,77001.0,2443.0,22699.0,19.0,18.0,0.0,0.0,No
2020-02-23,77022.0,2445.0,23187.0,20.0,18.0,0.0,0.0,No
2020-02-24,77241.0,2595.0,25015.0,27.0,20.0,0.0,0.0,No
2020-02-25,77754.0,2665.0,27676.0,26.0,17.0,1.0,0.0,No
2020-02-26,78166.0,2717.0,30084.0,27.0,18.0,1.0,1.0,No
2020-02-27,78600.0,2746.0,32930.0,22.0,17.0,1.0,1.0,No
2020-02-28,78928.0,2790.0,36329.0,26.0,16.0,1.0,1.0,No
2020-02-29,79356.0,2837.0,39320.0,26.0,17.0,1.0,1.0,No
2020-03-01,79932.0,2872.0,42162.0,26.0,17.0,1.0,1.0,No
2020-03-02,80136.0,2914.0,44854.0,21.0,16.0,1.0,0.0,No
2020-03-03,80261.0,2947.0,47450.0,19.0,12.0,0.0,0.0,No
2020-03-04,80386.0,2983.0,50001.0,17.0,14.0,1.0,1.0,No
2020-03-05,80537.0,3015.0,52292.0,19.0,15.0,1.0,0.0,No
2020-03-06,80690.0,3044.0,53944.0,21.0,16.0,0.0,0.0,No
2020-03-07,80770.0,3072.0,55539.0,23.0,16.0,1.0,0.0,No
2020-03-08,80823.0,3100.0,57388.0,24.0,17.0,1.0,0.0,No
2020-03-09,80860.0,3123.0,58804.0,20.0,16.0,0.0,0.0,No
2020-03-10,80887.0,3139.0,60181.0,23.0,14.0,1.0,0.0,No
2020-03-11,80921.0,3161.0,61644.0,19.0,13.0,1.0,1.0,No
2020-03-12,80932.0,3172.0,62901.0,19.0,15.0,1.0,0.0,No
2020-03-13,80945.0,3180.0,64196.0,20.0,16.0,1.0,0.0,No
2020-03-14,80977.0,3193.0,65660.0,22.0,17.0,0.0,0.0,No
2020-03-15,81003.0,3203.0,67017.0,23.0,17.0,1.0,0.0,No
2020-03-16,81033.0,3217.0,67910.0,22.0,16.0,0.0,0.0,No
2020-03-17,81058.0,3230.0,68798.0,22.0,17.0,0.0,0.0,No
2020-03-18,81102.0,3241.0,69755.0,23.0,17.0,1.0,0.0,No
2020-03-19,81156.0,3249.0,70535.0,23.0,17.0,0.0,0.0,No
2020-03-20,81250.0,3253.0,71266.0,23.0,17.0,1.0,0.0,No
2020-03-21,81305.0,3259.0,71857.0,24.0,17.0,0.0,0.0,No
2020-03-22,81397.0,3265.0,72362.0,20.0,17.0,1.0,0.0,No
