,Date,Country,Confirmed,Recovered,Deaths
0,,,,,
1,,,,,
2,2020-01-22,China,548.0,28.0,17.0
3,2020-01-23,China,643.0,30.0,18.0
4,2020-01-24,China,920.0,36.0,26.0
5,2020-01-25,China,1406.0,39.0,42.0
6,2020-01-26,China,2075.0,49.0,56.0
7,2020-01-27,China,2877.0,58.0,82.0
8,2020-01-28,China,5509.0,101.0,131.0
9,2020-01-29,China,6087.0,120.0,133.0
10,2020-01-30,China,8141.0,135.0,171.0
11,2020-01-31,China,9802.0,214.0,213.0
12,2020-02-01,China,11891.0,275.0,259.0
13,2020-02-02,China,16630.0,463.0,361.0
14,2020-02-03,China,19716.0,614.0,425.0
15,2020-02-04,China,23707.0,843.0,491.0
16,2020-02-05,China,27440.0,1115.0,563.0
17,2020-02-06,China,30587.0,1477.0,633.0
18,2020-02-07,China,34110.0,1999.0,718.0
19,2020-02-08,China,36814.0,2596.0,805.0
20,2020-02-09,China,39829.0,3219.0,905.0
21,2020-02-10,China,42354.0,3918.0,1012.0
22,2020-02-11,China,44386.0,4636.0,1112.0
23,2020-02-12,China,44759.0,5082.0,1117.0
24,2020-02-13,China,59895.0,6217.0,1369.0
25,2020-02-14,China,66358.0,7977.0,1521.0
26,2020-02-15,China,68413.0,9298.0,1663.0
27,2020-02-16,China,70513.0,10755.0,1766.0
28,2020-02-17,China,72434.0,12462.0,1864.0
29,2020-02-18,China,74211.0,14206.0,2003.0
30,2020-02-19,China,74619.0,15962.0,2116.0
31,2020-02-20,China,75077.0,18014.0,2238.0
32,2020-02-21,China,75550.0,18704.0,2238.0
33,2020-02-22,China,77001.0,22699.0,2443.0
34,2020-02-23,China,77022.0,23187.0,2445.0
35,2020-02-24,China,77241.0,25015.0,2595.0
36,2020-02-25,China,77754.0,27676.0,2665.0
37,2020-02-26,China,78166.0,30084.0,2717.0
38,2020-02-27,China,78600.0,32930.0,2746.0
39,2020-02-28,China,78928.0,36329.0,2790.0
40,2020-02-29,China,79356.0,39320.0,2837.0
41,2020-03-01,China,79932.0,42162.0,2872.0
42,2020-03-02,China,80136.0,44854.0,2914.0
43,2020-03-03,China,80261.0,47450.0,2947.0
44,2020-03-04,China,80386.0,50001.0,2983.0
45,2020-03-05,China,80537.0,52292.0,3015.0
46,2020-03-06,China,80690.0,53944.0,3044.0
47,2020-03-07,China,80770.0,55539.0,3072.0
48,2020-03-08,China,80823.0,57388.0,3100.0
49,2020-03-09,China,80860.0,58804.0,3123.0
50,2020-03-10,China,80887.0,60181.0,3139.0
51,2020-03-11,China,80921.0,61644.0,3161.0
52,2020-03-12,China,80932.0,62901.0,3172.0
53,2020-03-13,China,80945.0,64196.0,3180.0
54,2020-03-14,China,80977.0,65660.0,3193.0
55,2020-03-15,China,81003.0,67017.0,3203.0
56,2020-03-16,China,81033.0,67910.0,3217.0
57,2020-03-17,China,81058.0,68798.0,3230.0
58,2020-03-18,China,81102.0,69755.0,3241.0
59,2020-03-19,China,81156.0,70535.0,3249.0
60,2020-03-20,China,81250.0,71266.0,3253.0
61,2020-03-21,China,81305.0,71857.0,3259.0
62,2020-03-22,China,81397.0,72362.0,3265.0
