,Unnamed: 0,Province/State,Country,Last Update,Confirmed,Deaths,Recovered,nDate,lat,lon
0,2,Chongqing,China,1/22/2020 12:00,6,0,0,22,30.05518,107.8748712
1,3,Fujian,China,1/22/2020 12:00,1,0,0,22,26.5450001,117.842778
2,4,Gansu,China,1/22/2020 12:00,0,0,0,22,38.0000001,101.9999999
3,5,Guangxi,China,1/22/2020 12:00,2,0,0,22,24,109
4,6,Guizhou,China,1/22/2020 12:00,1,0,0,22,27,107
5,7,Hainan,China,1/22/2020 12:00,4,0,0,22,19.2000001,109.5999999
6,8,Hebei,China,1/22/2020 12:00,1,0,0,22,39.0000001,116
7,9,Heilongjiang,China,1/22/2020 12:00,0,0,0,22,48.0000047,127.999992
8,10,Hunan,China,1/22/2020 12:00,4,0,0,22,27.9995878,112.009538
9,11,Jiangsu,China,1/22/2020 12:00,1,0,0,22,33.0000001,119.9999999
10,12,Jiangxi,China,1/22/2020 12:00,2,0,0,22,28,116
11,13,Liaoning,China,1/22/2020 12:00,2,0,0,22,40.9975197,122.9955469
12,14,Macau,China,1/22/2020 12:00,1,0,0,22,22.1757605,113.5514142
13,15,Ningxia,China,1/22/2020 12:00,1,0,0,22,37.0000001,105.9999999
14,16,Qinghai,China,1/22/2020 12:00,0,0,0,22,35.40709525,95.95211573
15,17,Shaanxi,China,1/22/2020 12:00,0,0,0,22,36,109
16,18,Shandong,China,1/22/2020 12:00,2,0,0,22,36.0000001,118.9999999
17,19,Shanxi,China,1/22/2020 12:00,1,0,0,22,37,112
18,20,Sichuan,China,1/22/2020 12:00,5,0,0,22,30.5000001,102.4999999
19,21,Taiwan,China,1/22/2020 12:00,1,0,0,22,23.9739374,120.9820179
20,22,Tianjin,China,1/22/2020 12:00,4,0,0,22,39.1235635,117.1980785
21,23,Yunnan,China,1/22/2020 12:00,1,0,0,22,25,102
22,24,missing_value,Japan,1/22/2020 12:00,2,0,0,22,0,0
23,25,missing_value,Thailand,1/22/2020 12:00,2,0,0,22,0,0
24,26,missing_value,South Korea,1/22/2020 12:00,1,0,0,22,0,0
25,27,Anhui,Mainland China,1/23/2020 12:00,9,0,0,23,32,117
26,28,Fujian,Mainland China,1/23/2020 12:00,5,0,0,23,26.5450001,117.842778
27,29,Guangxi,Mainland China,1/23/2020 12:00,5,0,0,23,24,109
28,30,Guizhou,Mainland China,1/23/2020 12:00,3,0,0,23,27,107
29,31,Hainan,Mainland China,1/23/2020 12:00,5,0,0,23,19.2000001,109.5999999
30,32,Heilongjiang,Mainland China,1/23/2020 12:00,2,0,0,23,48.0000047,127.999992
31,33,Henan,Mainland China,1/23/2020 12:00,5,0,0,23,34.0000001,113.9999999
32,34,Hong Kong,Hong Kong,1/23/2020 12:00,2,0,0,23,22.2793278,114.1628131
33,35,Inner Mongolia,Mainland China,1/23/2020 12:00,0,0,0,23,43.2443242,114.3251664
34,36,Jiangsu,Mainland China,1/23/2020 12:00,5,0,0,23,33.0000001,119.9999999
35,37,Jiangxi,Mainland China,1/23/2020 12:00,7,0,0,23,28,116
36,38,Jilin,Mainland China,1/23/2020 12:00,1,0,0,23,42.9995032,125.9816054
37,39,Liaoning,Mainland China,1/23/2020 12:00,3,0,0,23,40.9975197,122.9955469
38,40,Macau,Macau,1/23/2020 12:00,2,0,0,23,22.1757605,113.5514142
39,41,Ningxia,Mainland China,1/23/2020 12:00,1,0,0,23,37.0000001,105.9999999
40,42,Shaanxi,Mainland China,1/23/2020 12:00,3,0,0,23,36,109
41,43,Shandong,Mainland China,1/23/2020 12:00,6,0,0,23,36.0000001,118.9999999
42,44,Shanxi,Mainland China,1/23/2020 12:00,1,0,0,23,37,112
43,45,Taiwan,Taiwan,1/23/2020 12:00,1,0,0,23,23.9739374,120.9820179
44,46,Tianjin,Mainland China,1/23/2020 12:00,4,0,0,23,39.1235635,117.1980785
45,47,Xinjiang,Mainland China,1/23/2020 12:00,2,0,0,23,41.7574769,87.16738423
