Date,Confirmed,Deaths,Recovered,max,min,cloud,rain
,continuous,discrete,continuous,continuous,continuous,,
,,,,,,,
2/14/2020,1,0,0,20,13,1,0
2/15/2020,1,0,0,21,11,1,0
2/16/2020,1,0,0,20,12,1,0
2/17/2020,1,0,0,19,14,1,0
2/18/2020,1,0,0,19,11,1,0
2/19/2020,1,0,0,17,10,1,0
2/20/2020,1,0,0,19,11,1,0
2/21/2020,1,0,0,20,10,1,0
2/22/2020,1,0,0,17,12,1,0
2/23/2020,1,0,0,18,11,1,0
2/24/2020,1,0,0,16,10,1,1
2/25/2020,1,0,0,20,11,1,0
2/26/2020,1,0,0,22,12,1,0
2/27/2020,1,0,0,25,13,0,0
2/28/2020,1,0,1,26,16,1,0
2/29/2020,1,0,1,21,14,1,0
3/1/2020,2,0,1,19,12,1,0
3/2/2020,2,0,1,20,11,0,0
3/3/2020,2,0,1,23,11,0,0
3/4/2020,2,0,1,26,11,0,0
3/5/2020,3,0,1,26,19,0,0
3/6/2020,15,0,1,20,15,1,0
3/7/2020,15,0,1,22,13,0,0
3/8/2020,49,1,1,25,12,0,0
3/9/2020,55,1,12,30,15,0,0
3/10/2020,59,1,1,21,12,0,0
3/11/2020,60,1,27,23,13,1,0
3/12/2020,67,1,27,17,13,1,0
3/13/2020,80,2,27,18,13,1,0
3/14/2020,109,2,27,22,16,1,0
3/15/2020,110,2,21,24,15,1,0
3/16/2020,150,2,27,26,15,1,0
3/17/2020,196,4,32,18,12,1,0
3/18/2020,196,6,32,19,11,1,0
3/19/2020,256,6,32,19,12,1,0
