Date,Confirmed,Deaths,Recovered,max,min,cloud,rain
time,continuous,continuous,continuous,continuous,continuous,,
,,,,,,,
1/31/2020,2,0,0,15,9,1,0
2/1/2020,2,0,0,14,10,1,0
2/2/2020,2,0,0,17,11,1,0
2/3/2020,2,0,0,19,7,0,0
2/4/2020,2,0,0,18,8,1,0
2/5/2020,2,0,0,13,5,1,0
2/6/2020,2,0,0,13,5,0,0
2/7/2020,3,0,0,15,-2,0,0
2/8/2020,3,0,0,16,-1,0,0
2/9/2020,3,0,0,15,1,1,0
2/10/2020,3,0,0,14,9,1,0
2/11/2020,3,0,0,18,4,1,0
2/12/2020,3,0,0,17,3,0,0
2/13/2020,3,0,0,16,8,1,0
2/14/2020,3,0,0,17,0,1,0
2/15/2020,3,0,0,18,1,0,0
2/16/2020,3,0,0,17,3,0,0
2/17/2020,3,0,0,17,5,0,0
2/18/2020,3,0,0,16,6,1,0
2/19/2020,3,0,0,15,5,1,0
2/20/2020,3,0,0,17,0,0,0
2/21/2020,20,1,0,17,3,1,0
2/22/2020,62,2,1,17,3,0,0
2/23/2020,155,3,2,17,9,0,0
2/24/2020,229,7,1,18,10,0,0
2/25/2020,322,10,1,17,6,1,0
2/26/2020,453,12,3,17,2,1,0
2/27/2020,655,17,45,13,8,0,0
2/28/2020,888,21,46,17,3,0,0
2/29/2020,1128,29,46,16,11,1,0
3/1/2020,1694,34,83,17,11,1,0
3/2/2020,2036,52,149,17,10,1,0
3/3/2020,2502,79,160,13,7,1,0
3/4/2020,3089,107,276,15,3,1,0
3/5/2020,3858,148,414,16,5,1,0
3/6/2020,4636,197,523,15,10,1,0
3/7/2020,5883,233,589,15,5,1,0
3/8/2020,7375,366,622,18,6,1,0
3/9/2020,9172,463,724,15,3,1,0
3/10/2020,10149,631,724,17,5,0,0
3/11/2020,12462,827,1045,19,5,0,0
3/12/2020,12462,827,1045,18,7,1,0
3/13/2020,17660,1266,1439,16,8,1,0
3/14/2020,21157,1441,1966,15,12,1,0
3/15/2020,24747,1809,2335,19,10,0,0
3/16/2020,27980,2158,2749,18,7,0,0
3/17/2020,31506,2503,2941,18,6,1,0
3/18/2020,35713,2978,4025,20,6,0,0
3/19/2020,41035,3405,4440,21,7,0,0
