max,min,Date
3,-3,1/22/2020
7,0,1/23/2020
10,2,1/24/2020
10,3,1/25/2020
7,3,1/26/2020
7,2,1/27/2020
6,2,1/28/2020
4,0,1/29/2020
2,-3,1/30/2020
6,1,1/31/2020
6,2,2/1/2020
6,1,2/2/2020
13,2,2/3/2020
15,6,2/4/2020
12,4,2/5/2020
5,2,2/6/2020
12,0,2/7/2020
4,-1,2/8/2020
5,0,2/9/2020
8,5,2/10/2020
8,6,2/11/2020
7,3,2/12/2020
6,0,2/13/2020
4,-7,2/14/2020
-1,-9,2/15/2020
6,-1,2/16/2020
10,3,2/17/2020
8,3,2/18/2020
8,0,2/19/2020
1,-3,2/20/2020
10,-1,2/21/2020
13,3,2/22/2020
16,5,2/23/2020
11,7,2/24/2020
8,7,2/25/2020
6,0,2/26/2020
5,-1,2/27/2020
1,-3,2/28/2020
6,-3,2/29/2020
13,3,3/1/2020
15,9,3/2/2020
12,7,3/3/2020
10,3,3/4/2020
7,2,3/5/2020
8,2,3/6/2020
15,1,3/7/2020
21,7,3/8/2020
18,12,3/9/2020
15,6,3/10/2020
9,6,3/11/2020
20,7,3/12/2020
12,6,3/13/2020
11,5,3/14/2020
7,0,3/15/2020
12,5,3/16/2020
12,5,3/17/2020
11,5,3/18/2020
24,8,3/19/2020
11,0,3/20/2020
6,2,3/21/2020
8,4,3/22/2020
14,7,3/23/2020
9,6,3/24/2020
14,8,3/25/2020
15,6,3/26/2020
12,7,3/27/2020
16,7,3/28/2020
15,8,3/29/2020
16,8,3/30/2020
15,7,3/31/2020
16,8,4/1/2020
16,7,4/2/2020
14,5,4/3/2020
14,6,4/4/2020
14,6,4/5/2020
14,6,4/6/2020
15,6,4/7/2020
15,6,4/8/2020
16,6,4/9/2020
16,7,4/10/2020
16,7,4/11/2020
16,7,4/12/2020
16,7,4/13/2020
17,7,4/14/2020
17,7,4/15/2020
17,8,4/16/2020
17,8,4/17/2020
17,8,4/18/2020
17,8,4/19/2020
18,8,4/20/2020
18,8,4/21/2020
18,9,4/22/2020
18,9,4/23/2020
18,9,4/24/2020
18,9,4/25/2020
19,9,4/26/2020
19,9,4/27/2020
19,9,4/28/2020
19,10,4/29/2020
19,10,4/30/2020
19,10,5/1/2020
20,10,5/2/2020
20,11,5/3/2020
20,11,5/4/2020
20,11,5/5/2020
21,11,5/6/2020
21,11,5/7/2020
21,11,5/8/2020
21,11,5/9/2020
21,12,5/10/2020
21,12,5/11/2020
21,12,5/12/2020
22,12,5/13/2020
22,12,5/14/2020
22,12,5/15/2020
22,13,5/16/2020
22,13,5/17/2020
22,13,5/18/2020
22,13,5/19/2020
22,13,5/20/2020
23,13,5/21/2020
23,13,5/22/2020
23,14,5/23/2020
23,14,5/24/2020
23,14,5/25/2020
23,14,5/26/2020
23,14,5/27/2020
24,14,5/28/2020
24,15,5/29/2020
