max,min,Date
33,12,1/23/2020
34,16,1/24/2020
28,15,1/25/2020
32,16,1/26/2020
34,17,1/27/2020
35,13,1/28/2020
33,20,1/29/2020
32,13,1/30/2020
37,13,1/31/2020
41,17,2/1/2020
41,25,2/2/2020
32,20,2/3/2020
28,13,2/4/2020
25,7,2/5/2020
22,10,2/6/2020
22,16,2/7/2020
18,15,2/8/2020
27,16,2/9/2020
28,17,2/10/2020
27,17,2/11/2020
27,18,2/12/2020
27,15,2/13/2020
28,16,2/14/2020
25,15,2/15/2020
25,16,2/16/2020
31,17,2/17/2020
21,15,2/18/2020
24,10,2/19/2020
26,12,2/20/2020
25,13,2/21/2020
25,12,2/22/2020
28,14,2/23/2020
30,12,2/24/2020
28,15,2/25/2020
26,11,2/26/2020
27,7,2/27/2020
26,11,2/28/2020
30,12,2/29/2020
31,13,3/1/2020
19,15,3/2/2020
19,15,3/3/2020
18,16,3/4/2020
25,16,3/5/2020
22,15,3/6/2020
20,12,3/7/2020
20,11,3/8/2020
22,8,3/9/2020
23,10,3/10/2020
22,9,3/11/2020
25,8,3/12/2020
17,8,3/13/2020
20,5,3/14/2020
20,6,3/15/2020
23,7,3/16/2020
25,7,3/17/2020
27,11,3/18/2020
28,15,3/19/2020
23,7,3/20/2020
24,10,3/21/2020
21,10,3/22/2020
22,12,3/23/2020
22,9,3/24/2020
21,10,3/25/2020
22,9,3/26/2020
24,11,3/27/2020
24,12,3/28/2020
21,12,3/29/2020
23,12,3/30/2020
21,12,3/31/2020
21,11,4/1/2020
21,11,4/2/2020
21,10,4/3/2020
20,10,4/4/2020
21,8,4/5/2020
21,8,4/6/2020
21,8,4/7/2020
21,8,4/8/2020
21,7,4/9/2020
21,7,4/10/2020
20,7,4/11/2020
20,7,4/12/2020
20,7,4/13/2020
20,7,4/14/2020
20,7,4/15/2020
20,7,4/16/2020
19,6,4/17/2020
19,6,4/18/2020
19,6,4/19/2020
19,6,4/20/2020
19,6,4/21/2020
19,6,4/22/2020
18,6,4/23/2020
18,6,4/24/2020
18,5,4/25/2020
18,5,4/26/2020
18,5,4/27/2020
18,5,4/28/2020
18,5,4/29/2020
17,5,4/30/2020
17,5,5/1/2020
17,5,5/2/2020
17,5,5/3/2020
17,4,5/4/2020
17,4,5/5/2020
16,4,5/6/2020
16,4,5/7/2020
16,4,5/8/2020
16,4,5/9/2020
16,4,5/10/2020
16,4,5/11/2020
16,4,5/12/2020
15,3,5/13/2020
15,3,5/14/2020
15,3,5/15/2020
15,3,5/16/2020
15,3,5/17/2020
15,3,5/18/2020
15,3,5/19/2020
15,3,5/20/2020
14,3,5/21/2020
14,3,5/22/2020
14,2,5/23/2020
14,2,5/24/2020
14,2,5/25/2020
14,2,5/26/2020
14,2,5/27/2020
14,2,5/28/2020
14,2,5/29/2020
13,2,5/30/2020
