max,min,Date
15,9,1/31/2020
14,10,2/1/2020
17,11,2/2/2020
19,7,2/3/2020
18,8,2/4/2020
13,5,2/5/2020
13,5,2/6/2020
15,-2,2/7/2020
16,-1,2/8/2020
15,1,2/9/2020
14,9,2/10/2020
18,4,2/11/2020
17,3,2/12/2020
16,8,2/13/2020
17,0,2/14/2020
18,1,2/15/2020
17,3,2/16/2020
17,5,2/17/2020
16,6,2/18/2020
15,5,2/19/2020
17,0,2/20/2020
17,3,2/21/2020
17,3,2/22/2020
17,9,2/23/2020
18,10,2/24/2020
17,6,2/25/2020
17,2,2/26/2020
13,8,2/27/2020
17,3,2/28/2020
16,11,2/29/2020
17,11,3/1/2020
17,10,3/2/2020
13,7,3/3/2020
15,3,3/4/2020
16,5,3/5/2020
15,10,3/6/2020
15,5,3/7/2020
18,6,3/8/2020
15,3,3/9/2020
17,5,3/10/2020
19,5,3/11/2020
18,7,3/12/2020
16,8,3/13/2020
15,12,3/14/2020
19,10,3/15/2020
18,7,3/16/2020
18,6,3/17/2020
20,6,3/18/2020
21,7,3/19/2020
20,6,3/20/2020
19,9,3/21/2020
19,8,3/22/2020
14,2,3/23/2020
11,1,3/24/2020
12,5,3/25/2020
14,7,3/26/2020
18,7,3/27/2020
18,8,3/28/2020
18,9,3/29/2020
18,10,3/30/2020
18,9,3/31/2020
18,9,4/1/2020
18,10,4/2/2020
18,10,4/3/2020
18,10,4/4/2020
18,6,4/5/2020
18,6,4/6/2020
18,6,4/7/2020
18,6,4/8/2020
18,7,4/9/2020
18,7,4/10/2020
19,7,4/11/2020
19,7,4/12/2020
19,7,4/13/2020
19,7,4/14/2020
19,7,4/15/2020
19,7,4/16/2020
19,7,4/17/2020
20,7,4/18/2020
20,7,4/19/2020
20,8,4/20/2020
20,8,4/21/2020
20,8,4/22/2020
20,8,4/23/2020
20,8,4/24/2020
21,8,4/25/2020
21,8,4/26/2020
21,8,4/27/2020
21,8,4/28/2020
21,9,4/29/2020
22,9,4/30/2020
22,9,5/1/2020
22,9,5/2/2020
22,9,5/3/2020
22,9,5/4/2020
22,10,5/5/2020
23,10,5/6/2020
23,10,5/7/2020
23,10,5/8/2020
23,10,5/9/2020
23,10,5/10/2020
23,10,5/11/2020
24,10,5/12/2020
24,11,5/13/2020
24,11,5/14/2020
24,11,5/15/2020
24,11,5/16/2020
24,11,5/17/2020
24,11,5/18/2020
25,11,5/19/2020
25,11,5/20/2020
25,12,5/21/2020
25,12,5/22/2020
25,12,5/23/2020
25,12,5/24/2020
25,12,5/25/2020
25,12,5/26/2020
26,12,5/27/2020
26,12,5/28/2020
26,13,5/29/2020
26,13,5/30/2020
26,13,5/31/2020
26,13,6/1/2020
26,13,6/2/2020
26,13,6/3/2020
26,13,6/4/2020
27,13,6/5/2020
27,,6/6/2020
27,,6/7/2020
27,,6/8/2020
27,,6/9/2020
27,,6/10/2020
27,,6/11/2020
27,,6/12/2020
28,,6/13/2020
28,,6/14/2020
28,,6/15/2020
28,,6/16/2020
28,,6/17/2020
28,,6/18/2020
28,,6/19/2020
29,,6/20/2020
29,,6/21/2020
29,,6/22/2020
29,,6/23/2020
29,,6/24/2020
29,,6/25/2020
29,,6/26/2020
29,,6/27/2020
30,,6/28/2020
30,,6/29/2020
