Date,Confirmed,Deaths,Recovered,max,min,cloud,rain
time,continuous,continuous,continuous,continuous,continuous,,
,,,,,,,
1/22/2020 22:00,0,0,0,33,12,0,0
1/24/2020 22:00,4,0,0,28,15,1,0
1/25/2020 22:00,4,0,0,32,16,0,0
1/27/2020 22:00,5,0,0,35,13,1,0
1/28/2020 22:00,10,0,0,33,20,1,0
1/29/2020 22:00,9,0,2,32,13,0,0
1/31/2020 22:00,81,0,12,41,17,0,0
2/2/2020 22:00,34,0,0,32,20,0,0
2/3/2020 22:00,6,0,0,28,13,1,0
2/5/2020 22:00,32,0,14,22,10,1,0
2/6/2020 22:00,10,0,0,22,16,1,0
2/8/2020 22:00,60,0,0,27,16,1,1
2/12/2020 22:00,132,0,132,27,15,1,0
2/16/2020 22:00,24,0,24,31,17,1,1
2/20/2020 22:00,40,0,8,25,13,0,0
2/21/2020 22:00,39,0,0,25,12,1,0
2/26/2020 22:00,16,0,0,27,7,1,0
2/28/2020 22:00,53,0,19,30,12,1,0
2/29/2020 22:00,10,4,0,31,13,0,0
3/1/2020 22:00,36,0,16,19,15,0,0
3/2/2020 22:00,35,0,6,19,15,1,0
3/3/2020 22:00,66,2,16,18,16,1,1
3/4/2020 22:00,71,4,38,25,16,1,1
3/5/2020 22:00,61,1,14,22,15,1,0
3/6/2020 22:00,50,1,18,20,12,1,0
3/7/2020 22:00,74,3,20,20,11,1,0
3/8/2020 22:00,67,4,11,22,8,1,0
3/9/2020 22:00,100,3,19,23,10,1,0
3/10/2020 22:00,454,9,65,22,9,0,0
3/13/2020 22:00,273,4,23,20,5,0,0
3/14/2020 22:00,278,2,23,20,6,1,0
3/15/2020 22:00,414,3,26,23,7,0,0
3/16/2020 22:00,413,5,20,25,7,0,0
3/17/2020 22:00,688,6,31,27,11,0,0
3/18/2020 22:00,559,6,18,28,15,1,0
