Date,Country,Confirmed,Recovered,Deaths
,,,,
,,,,
1/22/2020,China,548,28,17
1/23/2020,China,643,30,18
1/24/2020,China,920,36,26
1/25/2020,China,1406,39,42
1/26/2020,China,2075,49,56
1/27/2020,China,2877,58,82
1/28/2020,China,5509,101,131
1/29/2020,China,6087,120,133
1/30/2020,China,8141,135,171
1/31/2020,China,9802,214,213
2/1/2020,China,11891,275,259
2/2/2020,China,16630,463,361
2/3/2020,China,19716,614,425
2/4/2020,China,23707,843,491
2/5/2020,China,27440,1115,563
2/6/2020,China,30587,1477,633
2/7/2020,China,34110,1999,718
2/8/2020,China,36814,2596,805
2/9/2020,China,39829,3219,905
2/10/2020,China,42354,3918,1012
2/11/2020,China,44386,4636,1112
2/12/2020,China,44759,5082,1117
2/13/2020,China,59895,6217,1369
2/14/2020,China,66358,7977,1521
2/15/2020,China,68413,9298,1663
2/16/2020,China,70513,10755,1766
2/17/2020,China,72434,12462,1864
2/18/2020,China,74211,14206,2003
2/19/2020,China,74619,15962,2116
2/20/2020,China,75077,18014,2238
2/21/2020,China,75550,18704,2238
2/22/2020,China,77001,22699,2443
2/23/2020,China,77022,23187,2445
2/24/2020,China,77241,25015,2595
2/25/2020,China,77754,27676,2665
2/26/2020,China,78166,30084,2717
2/27/2020,China,78600,32930,2746
2/28/2020,China,78928,36329,2790
2/29/2020,China,79356,39320,2837
3/1/2020,China,79932,42162,2872
3/2/2020,China,80136,44854,2914
3/3/2020,China,80261,47450,2947
3/4/2020,China,80386,50001,2983
3/5/2020,China,80537,52292,3015
3/6/2020,China,80690,53944,3044
3/7/2020,China,80770,55539,3072
3/8/2020,China,80823,57388,3100
3/9/2020,China,80860,58804,3123
3/10/2020,China,80887,60181,3139
3/11/2020,China,80921,61644,3161
3/12/2020,China,80932,62901,3172
3/13/2020,China,80945,64196,3180
3/14/2020,China,80977,65660,3193
3/15/2020,China,81003,67017,3203
3/16/2020,China,81033,67910,3217
3/17/2020,China,81058,68798,3230
3/18/2020,China,81102,69755,3241
3/19/2020,China,81156,70535,3249
3/20/2020,China,81250,71266,3253
3/21/2020,China,81305,71857,3259
3/22/2020,China,81397,72362,3265
