Date,Country,Confirmed,Recovered,Deaths
,,,,
,,,,
3/22/2020,Afghanistan,40,1,1
3/22/2020,Albania,89,2,2
3/22/2020,Algeria,201,65,17
3/22/2020,Andorra,113,1,1
3/22/2020,Angola,2,0,0
3/22/2020,Antigua and Barbuda,1,0,0
3/22/2020,Argentina,225,3,4
3/22/2020,Armenia,194,2,0
3/22/2020,Australia,1314,88,7
3/22/2020,Austria,3244,9,16
3/22/2020,Azerbaijan,65,10,1
3/22/2020,"Bahamas, The",4,0,0
3/22/2020,Bahrain,332,149,2
3/22/2020,Bangladesh,27,3,2
3/22/2020,Barbados,14,0,0
3/22/2020,Belarus,76,15,0
3/22/2020,Belgium,3401,263,75
3/22/2020,Benin,2,0,0
3/22/2020,Bhutan,2,0,0
3/22/2020,Bolivia,24,0,0
3/22/2020,Bosnia and Herzegovina,126,2,1
3/22/2020,Brazil,1593,2,25
3/22/2020,Brunei,88,2,0
3/22/2020,Bulgaria,187,3,3
3/22/2020,Burkina Faso,75,5,4
3/22/2020,Cabo Verde,3,0,0
3/22/2020,Cambodia,84,1,0
3/22/2020,Cameroon,40,0,0
3/22/2020,Canada,1465,10,21
3/22/2020,Cape Verde,1,0,0
3/22/2020,Central African Republic,3,0,0
3/22/2020,Chad,1,0,0
3/22/2020,Chile,632,8,1
3/22/2020,China,81397,72362,3265
3/22/2020,Colombia,231,3,2
3/22/2020,Congo (Brazzaville),3,0,0
3/22/2020,Congo (Kinshasa),30,0,1
3/22/2020,Costa Rica,134,2,2
3/22/2020,Cote d'Ivoire,14,1,0
3/22/2020,Croatia,254,5,1
3/22/2020,Cruise Ship,712,325,8
3/22/2020,Cuba,35,0,1
3/22/2020,Cyprus,95,3,1
3/22/2020,Czechia,1120,6,1
3/22/2020,Denmark,1514,1,13
3/22/2020,Djibouti,1,0,0
3/22/2020,Dominica,1,0,0
3/22/2020,Dominican Republic,202,0,3
3/22/2020,East Timor,1,0,0
3/22/2020,Ecuador,789,3,14
3/22/2020,Egypt,327,56,14
3/22/2020,El Salvador,3,0,0
3/22/2020,Equatorial Guinea,6,0,0
3/22/2020,Eritrea,1,0,0
3/22/2020,Estonia,326,2,0
3/22/2020,Eswatini,4,0,0
3/22/2020,Ethiopia,11,4,0
3/22/2020,Fiji,2,0,0
3/22/2020,Finland,626,10,1
3/22/2020,France,16176,2206,674
3/22/2020,Gabon,5,0,1
3/22/2020,"Gambia, The",1,0,0
3/22/2020,Georgia,54,3,0
3/22/2020,Germany,24873,266,94
3/22/2020,Ghana,24,0,1
3/22/2020,Greece,624,19,15
3/22/2020,Grenada,1,0,0
3/22/2020,Guatemala,19,0,1
3/22/2020,Guinea,2,0,0
3/22/2020,Guyana,7,0,1
3/22/2020,Haiti,2,0,0
3/22/2020,Holy See,1,0,0
3/22/2020,Honduras,26,0,0
3/22/2020,Hungary,131,16,6
3/22/2020,Iceland,568,36,1
3/22/2020,India,396,27,7
3/22/2020,Indonesia,514,29,48
3/22/2020,Iran,21638,7931,1685
3/22/2020,Iraq,233,57,20
3/22/2020,Ireland,906,5,4
3/22/2020,Israel,1071,37,1
3/22/2020,Italy,59138,7024,5476
3/22/2020,Jamaica,16,2,1
