Sno,Date,Province/State,Country,Last Update,Confirmed,Deaths,Recovered,Selected
continuous,discrete,discrete,discrete,discrete,continuous,continuous,continuous,discrete
,,,,,,,,class
3.0,1/22/2020 12:00,Chongqing,China,1/22/2020 12:00,6.0,0.0,0.0,No
4.0,1/22/2020 12:00,Fujian,China,1/22/2020 12:00,1.0,0.0,0.0,No
5.0,1/22/2020 12:00,Gansu,China,1/22/2020 12:00,0.0,0.0,0.0,No
7.0,1/22/2020 12:00,Guangxi,China,1/22/2020 12:00,2.0,0.0,0.0,No
8.0,1/22/2020 12:00,Guizhou,China,1/22/2020 12:00,1.0,0.0,0.0,No
9.0,1/22/2020 12:00,Hainan,China,1/22/2020 12:00,4.0,0.0,0.0,No
10.0,1/22/2020 12:00,Hebei,China,1/22/2020 12:00,1.0,0.0,0.0,No
11.0,1/22/2020 12:00,Heilongjiang,China,1/22/2020 12:00,0.0,0.0,0.0,No
15.0,1/22/2020 12:00,Hunan,China,1/22/2020 12:00,4.0,0.0,0.0,No
17.0,1/22/2020 12:00,Jiangsu,China,1/22/2020 12:00,1.0,0.0,0.0,No
18.0,1/22/2020 12:00,Jiangxi,China,1/22/2020 12:00,2.0,0.0,0.0,No
20.0,1/22/2020 12:00,Liaoning,China,1/22/2020 12:00,2.0,0.0,0.0,No
21.0,1/22/2020 12:00,Macau,China,1/22/2020 12:00,1.0,0.0,0.0,No
22.0,1/22/2020 12:00,Ningxia,China,1/22/2020 12:00,1.0,0.0,0.0,No
23.0,1/22/2020 12:00,Qinghai,China,1/22/2020 12:00,0.0,0.0,0.0,No
24.0,1/22/2020 12:00,Shaanxi,China,1/22/2020 12:00,0.0,0.0,0.0,No
25.0,1/22/2020 12:00,Shandong,China,1/22/2020 12:00,2.0,0.0,0.0,No
27.0,1/22/2020 12:00,Shanxi,China,1/22/2020 12:00,1.0,0.0,0.0,No
28.0,1/22/2020 12:00,Sichuan,China,1/22/2020 12:00,5.0,0.0,0.0,No
29.0,1/22/2020 12:00,Taiwan,China,1/22/2020 12:00,1.0,0.0,0.0,No
30.0,1/22/2020 12:00,Tianjin,China,1/22/2020 12:00,4.0,0.0,0.0,No
34.0,1/22/2020 12:00,Yunnan,China,1/22/2020 12:00,1.0,0.0,0.0,No
36.0,1/22/2020 12:00,,Japan,1/22/2020 12:00,2.0,0.0,0.0,No
37.0,1/22/2020 12:00,,Thailand,1/22/2020 12:00,2.0,0.0,0.0,No
38.0,1/22/2020 12:00,,South Korea,1/22/2020 12:00,1.0,0.0,0.0,No
39.0,1/23/20 12:00 PM,Anhui,Mainland China,1/23/20 12:00 PM,9.0,0.0,0.0,No
42.0,1/23/20 12:00 PM,Fujian,Mainland China,1/23/20 12:00 PM,5.0,0.0,0.0,No
45.0,1/23/20 12:00 PM,Guangxi,Mainland China,1/23/20 12:00 PM,5.0,0.0,0.0,No
46.0,1/23/20 12:00 PM,Guizhou,Mainland China,1/23/20 12:00 PM,3.0,0.0,0.0,No
47.0,1/23/20 12:00 PM,Hainan,Mainland China,1/23/20 12:00 PM,5.0,0.0,0.0,No
49.0,1/23/20 12:00 PM,Heilongjiang,Mainland China,1/23/20 12:00 PM,2.0,0.0,0.0,No
50.0,1/23/20 12:00 PM,Henan,Mainland China,1/23/20 12:00 PM,5.0,0.0,0.0,No
51.0,1/23/20 12:00 PM,Hong Kong,Hong Kong,1/23/20 12:00 PM,2.0,0.0,0.0,No
54.0,1/23/20 12:00 PM,Inner Mongolia,Mainland China,1/23/20 12:00 PM,0.0,0.0,0.0,No
55.0,1/23/20 12:00 PM,Jiangsu,Mainland China,1/23/20 12:00 PM,5.0,0.0,0.0,No
56.0,1/23/20 12:00 PM,Jiangxi,Mainland China,1/23/20 12:00 PM,7.0,0.0,0.0,No
57.0,1/23/20 12:00 PM,Jilin,Mainland China,1/23/20 12:00 PM,1.0,0.0,0.0,No
58.0,1/23/20 12:00 PM,Liaoning,Mainland China,1/23/20 12:00 PM,3.0,0.0,0.0,No
59.0,1/23/20 12:00 PM,Macau,Macau,1/23/20 12:00 PM,2.0,0.0,0.0,No
60.0,1/23/20 12:00 PM,Ningxia,Mainland China,1/23/20 12:00 PM,1.0,0.0,0.0,No
62.0,1/23/20 12:00 PM,Shaanxi,Mainland China,1/23/20 12:00 PM,3.0,0.0,0.0,No
63.0,1/23/20 12:00 PM,Shandong,Mainland China,1/23/20 12:00 PM,6.0,0.0,0.0,No
65.0,1/23/20 12:00 PM,Shanxi,Mainland China,1/23/20 12:00 PM,1.0,0.0,0.0,No
67.0,1/23/20 12:00 PM,Taiwan,Taiwan,1/23/20 12:00 PM,1.0,0.0,0.0,No
68.0,1/23/20 12:00 PM,Tianjin,Mainland China,1/23/20 12:00 PM,4.0,0.0,0.0,No
71.0,1/23/20 12:00 PM,Xinjiang,Mainland China,1/23/20 12:00 PM,2.0,0.0,0.0,No
72.0,1/23/20 12:00 PM,Yunnan,Mainland China,1/23/20 12:00 PM,2.0,0.0,0.0,No
74.0,1/23/20 12:00 PM,,Japan,1/23/20 12:00 PM,1.0,0.0,0.0,No
75.0,1/23/20 12:00 PM,,Thailand,1/23/20 12:00 PM,3.0,0.0,0.0,No
76.0,1/23/20 12:00 PM,,South Korea,1/23/20 12:00 PM,1.0,0.0,0.0,No
77.0,1/23/20 12:00 PM,,Singapore,1/23/20 12:00 PM,1.0,0.0,0.0,No
78.0,1/23/20 12:00 PM,,Philippines,1/23/20 12:00 PM,0.0,0.0,0.0,No
79.0,1/23/20 12:00 PM,,Malaysia,1/23/20 12:00 PM,0.0,0.0,0.0,No
80.0,1/23/20 12:00 PM,,Vietnam,1/23/20 12:00 PM,2.0,0.0,0.0,No
90.0,1/24/2020 12:00 PM,Guangxi,Mainland China,1/24/2020 12:00 PM,23.0,0.0,0.0,No
92.0,1/24/2020 12:00 PM,Jiangxi,Mainland China,1/24/2020 12:00 PM,18.0,0.0,0.0,No
93.0,1/24/2020 12:00 PM,Sichuan,Mainland China,1/24/2020 12:00 PM,15.0,0.0,0.0,No
94.0,1/24/2020 12:00 PM,Shandong,Mainland China,1/24/2020 12:00 PM,15.0,0.0,0.0,No
95.0,1/24/2020 12:00 PM,Anhui,Mainland China,1/24/2020 12:00 PM,15.0,0.0,0.0,No
98.0,1/24/2020 12:00 PM,Jiangsu,Mainland China,1/24/2020 12:00 PM,9.0,0.0,0.0,No
99.0,1/24/2020 12:00 PM,Hainan,Mainland China,1/24/2020 12:00 PM,8.0,0.0,0.0,No
100.0,1/24/2020 12:00 PM,Tianjin,Mainland China,1/24/2020 12:00 PM,8.0,0.0,0.0,No
101.0,1/24/2020 12:00 PM,Yunnan,Mainland China,1/24/2020 12:00 PM,5.0,0.0,0.0,No
102.0,1/24/2020 12:00 PM,Shaanxi,Mainland China,1/24/2020 12:00 PM,5.0,0.0,0.0,No
103.0,1/24/2020 12:00 PM,Heilongjiang,Mainland China,1/24/2020 12:00 PM,4.0,1.0,0.0,No
104.0,1/24/2020 12:00 PM,Liaoning,Mainland China,1/24/2020 12:00 PM,4.0,0.0,0.0,No
105.0,1/24/2020 12:00 PM,Guizhou,Mainland China,1/24/2020 12:00 PM,3.0,0.0,0.0,No
106.0,1/24/2020 12:00 PM,Jilin,Mainland China,1/24/2020 12:00 PM,3.0,0.0,0.0,No
107.0,1/24/2020 12:00 PM,Taiwan,Taiwan,1/24/2020 12:00 PM,3.0,0.0,0.0,No
108.0,1/24/2020 12:00 PM,Ningxia,Mainland China,1/24/2020 12:00 PM,2.0,0.0,0.0,No
109.0,1/24/2020 12:00 PM,Hong Kong,Hong Kong,1/24/2020 12:00 PM,2.0,0.0,0.0,No
110.0,1/24/2020 12:00 PM,Macau,Macau,1/24/2020 12:00 PM,2.0,0.0,0.0,No
111.0,1/24/2020 12:00 PM,Hebei,Mainland China,1/24/2020 12:00 PM,2.0,1.0,0.0,No
112.0,1/24/2020 12:00 PM,Gansu,Mainland China,1/24/2020 12:00 PM,2.0,0.0,0.0,No
113.0,1/24/2020 12:00 PM,Xinjiang,Mainland China,1/24/2020 12:00 PM,2.0,0.0,0.0,No
114.0,1/24/2020 12:00 PM,Shanxi,Mainland China,1/24/2020 12:00 PM,1.0,0.0,0.0,No
115.0,1/24/2020 12:00 PM,Inner Mongolia,Mainland China,1/24/2020 12:00 PM,1.0,0.0,0.0,No
