,max,min,cloud,wind,rain,date
0,17,15,0.0,,,2020-01-01
1,26,17,1.0,,,2020-01-02
2,26,18,1.0,,,2020-01-03
3,27,17,1.0,,,2020-01-04
4,25,19,1.0,,,2020-01-05
5,27,19,1.0,,,2020-01-06
6,28,19,1.0,,1.0,2020-01-07
7,20,17,,,,2020-01-08
8,23,17,1.0,,1.0,2020-01-09
9,26,18,1.0,,,2020-01-10
10,22,18,1.0,,,2020-01-11
11,18,15,1.0,,,2020-01-12
12,18,14,,,,2020-01-13
13,19,16,1.0,,,2020-01-14
14,20,16,1.0,,,2020-01-15
15,23,18,1.0,,,2020-01-16
16,18,14,1.0,,,2020-01-17
17,16,14,1.0,,,2020-01-18
18,15,14,1.0,,,2020-01-19
19,20,14,1.0,,,2020-01-20
20,16,15,1.0,,,2020-01-21
21,28,18,1.0,,,2020-01-22
22,29,18,1.0,,,2020-01-23
23,24,19,1.0,,,2020-01-24
24,22,19,1.0,,1.0,2020-01-25
25,19,15,1.0,,1.0,2020-01-26
26,16,14,1.0,,,2020-01-27
27,15,12,1.0,,,2020-01-28
28,13,10,,,,2020-01-29
29,17,8,1.0,,,2020-01-30
30,17,8,,,,2020-01-31
0,19,11,,,,2020-02-01
1,23,14,1.0,,1.0,2020-02-02
2,20,15,,,,2020-02-03
3,19,16,1.0,,,2020-02-04
4,16,16,,,,2020-02-05
5,23,16,1.0,,1.0,2020-02-06
6,17,16,1.0,,,2020-02-07
7,17,15,1.0,,,2020-02-08
8,15,15,,,,2020-02-09
9,20,14,,,,2020-02-10
10,23,16,,,,2020-02-11
11,29,16,1.0,,,2020-02-12
12,28,19,,,,2020-02-13
13,28,19,1.0,,,2020-02-14
14,25,20,1.0,,,2020-02-15
15,21,11,,,,2020-02-16
16,14,10,,,,2020-02-17
17,17,10,,,,2020-02-18
18,22,14,,,,2020-02-19
19,20,15,,,,2020-02-20
20,26,18,,,,2020-02-21
21,19,18,,,,2020-02-22
22,20,18,,,,2020-02-23
23,27,20,,,,2020-02-24
24,26,17,1.0,,,2020-02-25
25,27,18,1.0,,1.0,2020-02-26
26,22,17,1.0,,1.0,2020-02-27
27,26,16,1.0,,1.0,2020-02-28
28,26,17,1.0,,1.0,2020-02-29
0,26,17,1.0,,1.0,2020-03-01
1,21,16,1.0,,,2020-03-02
2,19,12,,,,2020-03-03
3,17,14,1.0,,1.0,2020-03-04
4,19,15,1.0,,,2020-03-05
5,21,16,,,,2020-03-06
6,23,16,1.0,,,2020-03-07
7,24,17,1.0,,,2020-03-08
8,20,16,,,,2020-03-09
9,23,14,1.0,,,2020-03-10
10,19,13,1.0,,1.0,2020-03-11
11,19,15,1.0,,,2020-03-12
12,20,16,1.0,,,2020-03-13
13,22,17,,,,2020-03-14
14,23,17,1.0,,,2020-03-15
15,22,16,,,,2020-03-16
16,22,17,,,,2020-03-17
17,23,17,1.0,,,2020-03-18
18,23,17,,,,2020-03-19
19,23,17,1.0,,,2020-03-20
20,24,17,,,,2020-03-21
21,20,17,1.0,,,2020-03-22
22,22,18,1.0,,,2020-03-23
23,24,18,,,,2020-03-24
24,25,17,,,,2020-03-25
25,25,15,1.0,,1.0,2020-03-26
26,23,14,1.0,,1.0,2020-03-27
27,21,13,1.0,,1.0,2020-03-28
28,21,14,1.0,,1.0,2020-03-29
29,20,15,1.0,,1.0,2020-03-30
30,21,15,1.0,,1.0,2020-03-31
0,22,17,1.0,,,2020-04-01
1,23,16,,,,2020-04-02
2,22,16,1.0,,1.0,2020-04-03
3,24,17,1.0,,1.0,2020-04-04
4,22,19,1.0,,1.0,2020-04-05
5,24,18,1.0,,,2020-04-06
6,26,16,,,,2020-04-07
7,26,16,,,,2020-04-08
8,23,18,1.0,,,2020-04-09
9,23,20,1.0,,,2020-04-10
10,24,20,1.0,,,2020-04-11
11,27,20,1.0,,1.0,2020-04-12
12,27,20,1.0,,,2020-04-13
13,27,20,1.0,,,2020-04-14
14,27,20,1.0,,,2020-04-15
15,27,20,,,,2020-04-16
16,26,20,1.0,,,2020-04-17
17,27,19,,,,2020-04-18
18,26,20,1.0,,1.0,2020-04-19
19,25,20,1.0,,1.0,2020-04-20
20,27,20,,,,2020-04-21
21,27,20,,,,2020-04-22
22,27,20,,,,2020-04-23
23,28,20,,,,2020-04-24
24,28,20,,,,2020-04-25
25,28,21,,,,2020-04-26
26,28,21,,,,2020-04-27
27,28,20,,,,2020-04-28
28,27,20,1.0,,1.0,2020-04-29
29,26,21,1.0,,,2020-04-30
