,Unnamed: 0,max,min,cloud,wind,rain,date
0,0,17,15,0.0,,,2020-01-01
1,1,26,17,1.0,,,2020-01-02
2,2,26,18,1.0,,,2020-01-03
3,3,27,17,1.0,,,2020-01-04
4,4,25,19,1.0,,,2020-01-05
5,5,27,19,1.0,,,2020-01-06
6,6,28,19,1.0,,1.0,2020-01-07
7,7,20,17,,,,2020-01-08
8,8,23,17,1.0,,1.0,2020-01-09
9,9,26,18,1.0,,,2020-01-10
10,10,22,18,1.0,,,2020-01-11
11,11,18,15,1.0,,,2020-01-12
12,12,18,14,,,,2020-01-13
13,13,19,16,1.0,,,2020-01-14
14,14,20,16,1.0,,,2020-01-15
15,15,23,18,1.0,,,2020-01-16
16,16,18,14,1.0,,,2020-01-17
17,17,16,14,1.0,,,2020-01-18
18,18,15,14,1.0,,,2020-01-19
19,19,20,14,1.0,,,2020-01-20
20,20,16,15,1.0,,,2020-01-21
21,21,28,18,1.0,,,2020-01-22
22,22,29,18,1.0,,,2020-01-23
23,23,24,19,1.0,,,2020-01-24
24,24,22,19,1.0,,1.0,2020-01-25
25,25,19,15,1.0,,1.0,2020-01-26
26,26,16,14,1.0,,,2020-01-27
27,27,15,12,1.0,,,2020-01-28
28,28,13,10,,,,2020-01-29
29,29,17,8,1.0,,,2020-01-30
30,30,17,8,,,,2020-01-31
31,0,19,11,,,,2020-02-01
32,1,23,14,1.0,,1.0,2020-02-02
33,2,20,15,,,,2020-02-03
34,3,19,16,1.0,,,2020-02-04
35,4,16,16,,,,2020-02-05
36,5,23,16,1.0,,1.0,2020-02-06
37,6,17,16,1.0,,,2020-02-07
38,7,17,15,1.0,,,2020-02-08
39,8,15,15,,,,2020-02-09
40,9,20,14,,,,2020-02-10
41,10,23,16,,,,2020-02-11
42,11,29,16,1.0,,,2020-02-12
43,12,28,19,,,,2020-02-13
44,13,28,19,1.0,,,2020-02-14
45,14,25,20,1.0,,,2020-02-15
46,15,21,11,,,,2020-02-16
47,16,14,10,,,,2020-02-17
48,17,17,10,,,,2020-02-18
49,18,22,14,,,,2020-02-19
50,19,20,15,,,,2020-02-20
51,20,26,18,,,,2020-02-21
52,21,19,18,,,,2020-02-22
53,22,20,18,,,,2020-02-23
54,23,27,20,,,,2020-02-24
55,24,26,17,1.0,,,2020-02-25
56,25,27,18,1.0,,1.0,2020-02-26
57,26,22,17,1.0,,1.0,2020-02-27
58,27,26,16,1.0,,1.0,2020-02-28
59,28,26,17,1.0,,1.0,2020-02-29
60,0,26,17,1.0,,1.0,2020-03-01
61,1,21,16,1.0,,,2020-03-02
62,2,19,12,,,,2020-03-03
63,3,17,14,1.0,,1.0,2020-03-04
64,4,19,15,1.0,,,2020-03-05
65,5,21,16,,,,2020-03-06
66,6,23,16,1.0,,,2020-03-07
67,7,24,17,1.0,,,2020-03-08
68,8,20,16,,,,2020-03-09
69,9,23,14,1.0,,,2020-03-10
70,10,19,13,1.0,,1.0,2020-03-11
71,11,19,15,1.0,,,2020-03-12
72,12,20,16,1.0,,,2020-03-13
73,13,22,17,,,,2020-03-14
74,14,23,17,1.0,,,2020-03-15
75,15,22,16,,,,2020-03-16
76,16,22,17,,,,2020-03-17
77,17,23,17,1.0,,,2020-03-18
78,18,23,17,,,,2020-03-19
79,19,23,17,1.0,,,2020-03-20
80,20,24,17,,,,2020-03-21
81,21,20,17,1.0,,,2020-03-22
82,22,22,18,1.0,,,2020-03-23
83,23,24,18,,,,2020-03-24
84,24,25,17,,,,2020-03-25
85,25,25,15,1.0,,1.0,2020-03-26
86,26,23,14,1.0,,1.0,2020-03-27
87,27,21,13,1.0,,1.0,2020-03-28
88,28,21,14,1.0,,1.0,2020-03-29
89,29,20,15,1.0,,1.0,2020-03-30
90,30,21,15,1.0,,1.0,2020-03-31
91,0,22,17,1.0,,,2020-04-01
92,1,23,16,,,,2020-04-02
93,2,22,16,1.0,,1.0,2020-04-03
94,3,24,17,1.0,,1.0,2020-04-04
95,4,22,19,1.0,,1.0,2020-04-05
96,5,24,18,1.0,,,2020-04-06
97,6,26,16,,,,2020-04-07
98,7,26,16,,,,2020-04-08
99,8,23,18,1.0,,,2020-04-09
100,9,23,20,1.0,,,2020-04-10
101,10,24,20,1.0,,,2020-04-11
102,11,27,20,1.0,,1.0,2020-04-12
103,12,27,20,1.0,,,2020-04-13
104,13,27,20,1.0,,,2020-04-14
105,14,27,20,1.0,,,2020-04-15
106,15,27,20,,,,2020-04-16
107,16,26,20,1.0,,,2020-04-17
108,17,27,19,,,,2020-04-18
109,18,26,20,1.0,,1.0,2020-04-19
110,19,25,20,1.0,,1.0,2020-04-20
111,20,27,20,,,,2020-04-21
112,21,27,20,,,,2020-04-22
113,22,27,20,,,,2020-04-23
114,23,28,20,,,,2020-04-24
115,24,28,20,,,,2020-04-25
116,25,28,21,,,,2020-04-26
117,26,28,21,,,,2020-04-27
118,27,28,20,,,,2020-04-28
119,28,27,20,1.0,,1.0,2020-04-29
120,29,26,21,1.0,,,2020-04-30
